Title|Year|Plot
Akuma no Riddle|2014|Tokaku Azuma is a heartless teenage assassin on a mission of death. She's been sent to a prestigious, all-girls boarding school to compete in an assassination game against eleven other beautiful killers. There heinous mission: send the innocent and cheerful Haru Ichinose to an early grave. 
AkuryÃ byÃtÃ|2013|Goomagawa Hospital, surrounded by forest on the outskirts. Ogami is working with a doctor, Goomagawa and a strict chief nurse from 2 weeks ago. One night, Nurse, Suzuki had the experience of disappearing as soon as met a bloody girl in a dark corridor. 
Akvariumas|2002|Eight volunteers (four women and four men) for fifty days are settled in a glass house which is built especially for them called "Aquarium", in the public place. Almost two months revealed sensation of isolation and many hours without privacy, such is a challenge for candidates: cameras and people in the street are watching them every minute. This is a drama of relationships in extreme situation. 
Al Dawama|2009|Talking about the historical period of modern Syria, stretching events of the series between 1949 AD - 1951 AD to convey to us a picture of Syrian society during this period full of events of historical and political currents in differentiated, revealing external attempts to control the wealth of the Arab countries, especially oil, through the Western countries and the responses to the States Arab Society for such attempts. The series weaves the story of Syria full of love and political struggle and national figures, Syria has its history and its impact on life and the Syrian Arab picks up from the details of life Damascene and composition of social, political and cultural rights, which have produced results and the reality still stands to this day, and the fabric of this story depends on the Diary of Champions series of Syria's modern history. 
Al Hajjaj|2003|Al Hajjaj bin Yousif Al Thaqafi was a controversial administrator, politician and minister of defense of the Umayyad caliphate. He was described as draconian, a brutal enemy to the opposers of the central government, a 'mission impossible' man, a driver of conquests to the distant lands and a shrewd statesman. His biography fluctuated between his brutality and excessive oppression against his enemies and lenience and loyalty to the Caliphate, which made him one of the most debatable characters in history. 
Al Hayba|2017|Al Hayba" an area located on the borders between Syria and Lebanon, Jabal (a young strong-willed man) and his clan, Sheikh El Jabal, controls arms trading and smuggling at the borders. Jabal and his family lead a modern life style, yet, he relies still on the traditional customs of the clan to solve? conflicts and to affir. his authority The family receives the news of the death of their son Adel who fled to Canada more than 15 years ago because of a vendetta. They hadn't received any news from him for the past 10 years, and there he comes back now as a lifeless corpse, accompanied by his wife and only son who he named after his brother Jabal. The tale of a coherent and noble family, whose secrets and conflicts are revealed through a newcomer, a stranger, but who becomes, with time, a pillar in the family home. Between the quarrel over power and influence, and amid conflicting wills, men's chivalry appear. Between possible and impossible love, blind and honest love, lovers' chastity and good name, Alia and Jabal's story unfolds. 
Al Ijtiyah|2008|The story takes place during the Israeli invasion of the city of Ramallah and the siege of the Church of Nativity in Bethlehem and the city of Jenin and its camp. The series goes beyond the typical and overused approach to offer an account that is full of life and passion by dramatically capturing the daily life of the Palestinian people. The story depicts real incidents and details starting with the love affair between Mustafa, the young Palestinian fugitive, and the Israeli young woman, Yaeel, which starts after Mustafa and his runaway friends rescue two girls who've had a car accident: Meryem (48 Arab Palestinian) and Yaeel (a Jew). Yaeel provides Mustafa with inside information passed to her by her brother, who is an Israeli Army officer. The plot builds up in a poignantly dramatic way, so here's the story of Abou Salem and his children and their manifold and entwined relationships then on to Jenin where there's Abou Khalid's family and his kids: Khalid the teacher, Amjad the detainee, Mustafa the fugitive and Hanan the nurse in addition to other characters taken from the reality brought by the satellite channels starting with Abou Basel, Abou Jandal and Al Tawalbeh through Saeed, the cameraman who's looking for the shot of a lifetime, and up to the story of Palestinian women prisoners and how they suffer even after they are released from prison, considering the inhuman torturing and crimes they were put through behind bars. It is a story of love and war. It is a story of life itself. 
Al Jazeera English|2006|The US military justice system is broken and rife with instances of impunity for sexual crimes. That is what survivors of sexual assault in the military have told a panel of U.S. senators. They are looking into the issue after a U.S. Air Force Colonol reversed the conviction of one of his Lieutenants. Al Jazeera's John Terrett reports from Washington. 
Al Kabeer|2010|The mayor of Al-Mazareeta, earlier in his life, he met an American woman and had twins with her. One child stayed in Egypt while the other went to America . Once he is on his deathbed, his child that grew up in America goes over to Egypt to claim his father's title. The sons battle to see who will take over, but eventually they realize the value of family, and go through challenges together 
Al Morgan|1949|Running for almost two years on the old Dumont network, this musical variety series starred and was hosted by pianist-singer Al Morgan. While other singers or musical guests would occasionally be brought on the show to give a performance, the main portion of the entertainment was usually provided by Al himself. 
Al Murabitun Wa Al Andalus|2005|King Al-Mu'tamid is victorious over Ibn Dandoun and his army in the outskirts of Cordoba and betrays King Ibn Jahour by exiling him and his family to Saltes after seizing Cordoba and appointing his son Al-Ibad as prince over it to the anger of Ibn Dandoun. 
Al Sayeda AL Aoula: First Lady|2014|This series tells the story of Mariam, an opportunist who makes one of the presidential candidate marry her and leave his wife and children behind so that she becomes "The First Lady". Mariam has a strong personality and she is blinded by her ambition to take over the country and control it especially after an assassination attempt of the President. Will Mariam succeed to rule in such a patriarchal society? 
Al Shakikatan aka Sisters|2017|This story is about Soraya and Sharif and it is set in the 50's. Soraya is a young lady who grew up with her father and his strict upbringing. Soraya is haunted by the memory of her father abusing her mother and murdering her for the sake of his second wife, with whom he has a daughter named Douha. Soraya hates her step-sister, and lives on the desire to take revenge on them both, not knowing that her mother is not dead, but that she was taken to a remote village and placed under heavy guard by her father. Sharif is poor and is working to support his sister, brother, and his widowed mother. He specializes in law in an attempt to take the family out of extreme poverty. Sharif meets Douha by coincidence, who is trying to escape from Soraya, and tries to help her. Things get complicated for Sharif as he tries to protect Douha from her cruel father and sister that is obsessed with revenge. Will he succeed? Or will Soraya be able to ruin their lives and turn it upside down? 
Al Shams Toshreq Min Jadeed|2005|The story unfolds the miserable life of a poor girl called Maram, who grew up in a broken home with a careless father who has no sense of responsibility at all. He is always outside the house, and when he comes back, he takes all the money his wife has, which her brother sends to her from abroad. Under such bad conditions, Maram graduates from high school and joins the university. Soon after that, she is shocked to learn that her mother is sick of cancer, which she dies of in the end, leaving Maram as an orphan looked after by her only friend Heyam. Later, Heyam's father falls in love with Maram, taking advantage of her weakness. She goes along with him for a while but she then comes to her senses and rebuffs him to become lonely again. Years go by and Maram meets a guy called Safwan. They fall in love with each other and finally managed to get married against all odds. She discovers later that Safwan wants to lead an ordinary life: get married and have children. She later decides to write her biography and give it to her daughter when she becomes 18 years old. The series addresses some events we live in our lives as inevitable and hard to change. It also addresses inter-personal relationships, the way our society looks at women and the way love relationships are usually misunderstood and misjudged. 
Al Yazmalim|2011|Ilyas as Asiye are 2young adults living in a village in turkey. Both are being pressured by their parents. ILyas due to his love to motorcycles and Asiye because she should be married but is very stubborn and doesn't want to. As these 2 fall in love asiye's problem is kind of solved but Ilyas has deep love for motorcycles. His brother had the same love for motorcycles. Ilyas misses his brother and wants to continue what his brother used to do before his death, he also has other issues such as being upset that his sister left them to run away with a guy and his other sister also did something he hated. But his main problem was choosing between asiye and her stubbornness and the motorcycle. He had to choose for 2 reasons: one is her fear of losing him to death and another is her jealousy of the woman he works with.Eventually which is stronger? His lover to her or to motorcycles? And what does their friends and environment get them to choose? 
Al and Christina: Take Cali|2017|Al and Christina: Take Cali, is a Reality TV and Drama About Al (Alrahim) and His Ex (Christina) Coming to California. With Drama From both ends of the family, They Split and Drove Each other Crazy. Now there Together and there back with some Hilarious TV Drama. 
Al diablo con los guapos|2007|"To Hell with Handsome Men" An orphan girl (Milagros) who was born and raised in a convent must leave at the age of 18. Milagros starts to work at the Belmonte's mansion, as a maid for Regina. She falls in love with Alejandro, the son of Constancio and Lociana. They both fight for their love while their family is not for it. 
Al fin de semana|1998|This weekly TV series replaces the series "Simpre en domingo" and features interviews, shows and acts by various artists in music, dancing, acting and other careers. 
Al interior de Wal-Mart de MÃxico|2008|A look inside daily operations at Wal-Mart Mexico showing several aspects of how its units work, opening the door to all the other areas that are involved in making this happen. Human Resources, Systems, Purchasing, and Logistics reveal the ways they work together to achieve the mission of "Improving the quality of life of Mexican families." The program also shows how this potential is focused on bringing the best prices to those who have the least through AurrerÂ· Warehouses. Thus, the general public can appreciate not only the complex labor behind the simple act of buying the products they're looking for. They can also recognize the hard work of all those who make it possible. 
Al otro lado|2016|The world is increasingly divided by walls, fences and barbed wire. Discovery MAX seeps through the cracks running through four of these borders made by humans to show the stories of hope, despair, pain, joy and duty of people living on one side and the other. The channel premieres 'Al otro lado', a series of four episodes that runs the most watched, dangerous and busiest border areas of the world. 'Al otro lado' is directed by Paul Iraburu and Migueltxo Molina, authors of the documentary film 'Walls', after its premiere at the San SebastiÂ·n International Film Festival, has gone through more than 50 international film festivals, obtaining several awards. The need to delve into the personal stories and the reality of the scenarios shown in the film a series of four deliveries that chronicles the lives of people living 'Al otro lado' of these walls arises 'Al otro lado' . Filmed at borders between the US and Mexico, Spain and Morocco, India and Bangladesh and South Africa and Zimbabwe, this series us about real, direct and very close to the lives of those so living on either side of any border fence. Smugglers, vigilantes, migrants, police ... their lives are tied to a fence or wall, and they all have a clear goal: crossing, avoid crossing or help crossers in four of the many hot spots that are currently scattered around the world: the wall between South Africa and Zimbabwe, barbed wire between India and Bangladesh, the wall that isolates the United States of Mexico and the fence is the border between Europe and Africa in the autonomous city of Melilla. 
Al-Dayah|2008|A midwife called Ghaleyah works also as a maid in Abu-Sad's house. She assists in the birth of Sad, and even breast-feeds him. After getting older, Sad marries his cousin because his father is rich. After the marriage, the wife tries to kick out Ghaleyah by accusing her of theft. Ghaleyah goes away along with her husband to avoid the scandal brought upon her by Sad's wife. 
Al-Faslah|2015|Marzooq has an accident while on a private trip out of Kuwait. His family falsely told that he had died. Almost one and a half year later, he returns to Kuwait to discover that his brother and wife took possession of his large and suitably-located house, turning it to hotel and rest house. Marzooq starts trying to repossess his house. 
Al-Muhtalah|2016|After living long years married to a loving and caring husband (Salah) but without having any children, Jamilah discovers after his death that he was married to other women and had children from them. She starts to make plans to return what she thinks is hers through fraud and trickery. 
Al-Zeer Salem|2000|A Biographical Drama Series about the life of Udai bin Rabia, a famous poet and a great warrior in Pre-Islamic Arabia, who led his tribe Taghlib in a war that lasted decades to take vengeance for his murdered brother King Kolaib. Udai, also known as Al-Zeer Abu Layla Al-Muhalhel, used to spend his days hunting, drinking, and pursuing women that he was called a tomcat. Even after his brother Kolaib, the more serious big brother, became a king Udai didn't take life seriously but rather tried to enjoy it. Soon enough his strict brother made enemies and was murdered and by that driving Al-Zeer Udai to lead a war that lasted for years and years. This war known as Basus is the first Arabian epic of which Udai is its Hero. 
Aladdin|1994|While Aladdin may still be living on the streets of Agrabah, he is now engaged to the beautiful and spirited Princess Jasmine. "Al" and Jasmine, along with monkey sidekick Abu, the Magic Carpet, the fast-talking, shape-shifting Genie, and Iago the short-tempered parrot continue their adventures exploring the world and protecting Agrabah. An animated series based on the popular Disney movie of the same name. Hero Aladdin, Princess Jasmine, her father the Sultan, sly parrot Iago and monkey Abu team up with their old friend Genie to keep the land of Agrabah safe from the forces of evil. Before he settles down to become the prince of Agrabah, the street rat turned hero sees the world, continuing to rescue people, making new friends and enemies. Genie's impressions and modern jokes continue to annoy Iago, but give every evil they face a light side. Princess Jasmine learns more about ruling and proves that she can be a hero when the occasion calls for it. And the sultan...well he continues to play with toys all day. Throughout the show, the teams faces something from each of their pasts along with mud creatures, bumbling theives, Greek inventors, the shambling undead, a selfish sand witch, a power crazed sorcerer, and creatures of all shapes and sizes. At the end of every day, Aladdin finds that he still has his friends and his home. 
Alakdana|2011|The story centers on a girl named Adana. Adana is cursed with a scorpion tail. Thus, making her life very uneasy and miserable. Despite of the curse, Adana grows up to be a kind-hearted, down to earth and God-fearing child. Adana, with a fear of having her big secret revealed, will be hiding her identity as a girl born with an unusual scorpion tail. 
Alamaailma Trilogia: Kyttâ°|2011|A detective working with the narcotics unit of the Stockholm police, PEKKA MANNINEN is called to Finland with the task of charting the route via which heroin is smuggled from St. Petersburg to Finland and the rest of the world. The Helsinki police department's narcotics unit has already been on the case with no results, and so the rough-and-ready Manninen goes undercover into a Russian drug operation. Treading the fine line between the legal and the illegal, Manninen begins to confuse the roles of police officer and criminal, until he goes too far and there's no turning back. 
Alamaailma Trilogia: Lakimies|2011|TOMAS MATTILA is a scruffy, beer-guzzling attorney whose life is a total mess. Through a coincidence, however, he gains a new client, who offers him a lucrative job. Mattila believes his luck has finally turned. He sobers up and begins to enjoy his newfound success, until he finds out that he is helping Swedish white-collar criminals launder money. Mattila realizes too late that there is no way out. 
Alamaailma Trilogia: Vanki|2010|Computer whizz-kid VESA LEVOLA is a decent young man with a promising career who unexpectedly ends up in prison after becoming involved in a street fight. In prison Vesa ends up working for the kingpin of the criminal world, who runs a drug-trafficking organization from behind bars. 
Alan Davies: As Yet Untitled|2014|All Alan has is an amazing fact about each of them, after which... who knows where the conversation will lead? It's this intimacy and free-form nature that spawns the kind of anecdotes and improvisational humour you won't get anywhere else. And then, at the end of the show, Alan and his guests have to come up with a title for that episode. Easy. Right? Hosted by Alan Davies and featuring an eclectic mix of A-list and up-and-coming faces, As Yet Untitled sits everyone round a small table for a discussion about, well, anything. There's no script, no rehearsals, no agenda, just the aim of being interesting and funny. 
Alarm fÂ¸r Cobra 11 - Die Autobahnpolizei|1996|While Ben is on vacation in Canada, Semir does a traffic check with other police officers, including Dieter. After Dieter gets shot and badly injured by Serbian criminal Elena Kovic, Semir tries to confront her and the other criminals - Ben is one of them. Dieter has fallen into a coma, and Semir finds out that Ben used to work undercover, to stop Elena Kovic and the influential politician / businessman from selling chemical weapons to African rebels. The undercover operation has failed, Ben is in great danger. Together with his boss, Kim KrÂ¸ger, Semir searches Ben's private life for any hints leading to his current location. 
Alarmcode 112|1996|Whereas you sometimes can't move for police series, the lives of firefighters doesn't get nearly as much screen time. So give a blazing hot welcome to "Alarmcode 112", the TV series that takes the word action and adds a big exclamation mark to it! Named after the emergency number you dial in Germany should your house go up in flames or kitty gets stuck in a tree, these eleven episodes are stuffed with breathtaking explosions, raging blazes, and terrible accidents! 
Alas Smith & Jones|1984|Mel Smith and Griff Rhys-Jones present a series of short (often tasteless, always scathing) sketches about modern life and the stupidity and gullibility of those who believe in it. 
Alaska Aircrash Investigations|2016|ALASKA AIRCRASH INVESTIGATIONS follows five NTSB members as they risk their lives in extreme environments to access remote crash sites in the unpredictable Alaskan wilderness. From dense forests to raging rivers, there is no place impenetrable for the "Go Team." Every investigation tests these brave men and women, from the seasoned veterans to the rookies who are just beginning their careers in air safety. 
Alaska Filmmakers|2011|"Alaska Filmmakers" is a program dedicated to highlighting the various talented individuals in Alaska Film Industry. A series for filmmakers, by filmmakers, about filmmakers. Our hosts sit down with local independent filmmakers and productions groups to talk about what inspired them to become involved in the production industry. Exploring the various challenges and triumphs of Alaska's storytellers, and how they are working together to help sustain the state's film industry. Created by a small group of local artists who have all worked with one another at some point in their careers. Pulling all their resources, each member of the crew has brought their own experiences and unique style to the program. 
Alaska Fish Wars|2012|To avoid a grudge match, rookie captain Gavin on the North Crow pulls a risky maneuver that pays off big-time. Captain Wes on the Night's Edge isn't so lucky - the only whopper he pulls in is a $3,000 fine for fishing across the legal boundary. 
Alaska Gold Diggers|2013|With the team working a good pay streak at Gold Run, things are looking up. But when storms approach, everyone is forced to evacuate camp. The early end to mining forces the women to resort to desperate measures for a return on their investment. 
Alaska Haunting|2015|Jess and her boyfriend Dusty move into a remote log cabin in the woods in Point Mackenzie, Alaska. But, when strange things start to happen, they realize why the cabin was for sale. The couple has awakened a vengeful spirit and it wants them out. 
Alaska Monsters|2014|In Alaska is a region known as the Triangle - 200,000 unforgiving miles where more people go missing per capita than anywhere else on earth. ALASKA MONSTERS follows a team of native outdoorsmen as they take on the challenge of exploring the Triangle's treacherous terrain to prove native monsters are linked to these disappearances. 
Alaska Off-Road Warriors|2014|Surprising his fellow off-roaders, Rover rejoins the race, dropping a bomb in the other teams' strategies. An ailing Carl forces Rich to try his hand at the wheel. Butch and Bill kick it into high gear trying to catapult War Wagon back to the top of the standings. Pete and Shey decide that it's time they stop putting other teams' needs before their own. And Brent and Scott, tired of relying on the other teams, learn some self-reliance on the tundra. 
Alaska Outdoors Television|2010|Watch as Alaska's best outdoor enthusiasts team goes up against the challenges of the state's rugged terrain and harsh conditions. Cameras capture the breathtaking images and scenery of some of Alaska's most remote frontiers as these teams explore, hunt and fish in Alaska's last great frontier. 
Alaska Proof|2016|Toby and Andy join Scott on a boat trip into Prince William Sound in search of the perfect icebergs for their vodka. Meanwhile, Chrissy takes Shane along as she faces her fear of bees in order to collect some of Alaska's fireweed honey for a "Buzz" order. 
Alaska State Troopers|2009|Follow the Troopers as they storm in to save a woman scorched by the out of control flames of a bonfire, track down a wanted and armed man through the frozen backcountry roads of Fairbanks, and start off the Iditarod race off with safety. Troopers also get a call from a well-known dogsledding family whose famous sleds have been burgled from their own home. 
Alaska Wing Men|2011|Keller Wattum is the "eye in the sky" for a fishing vessel in Kodiak Island's annual herring run. And in Juneau, chopper pilot Dustin Carroll is responsible for getting technicians to the cell towers to find a problem - 4,000 ft. up in the mountains. 
Alaska: Battle on the Bay|2015|In the desolate outreaches of Bristol Bay, Alaska, the most competitive fishing season on Earth takes place throughout four short weeks. ALASKA: BATTLE ON THE BAY submerges viewers within a high-stakes fishing drama as 1,800 captains and their crews draw the battle lines to help save Alaska's ecosystem by reeling in a massive sockeye salmon payday. With potential fortune swimming just below the surface, five captains prepare to battle the unforgiving bay, the battering ram of boats jockeying for position and the law, which strictly monitors the season with recon choppers and police squads. On the bay, fishing for the nearly 44 million salmon is necessary for the environment, and arm of the law is long, tempers are short and every single decision is the difference between drawing a huge income and settling for pennies. 
Alaska: Ice Cold Killers|2012|Ice Cold Killers is a true crime documentary set in the harshest of climates that are as cold as the killers it features. Each episode details the sadistic acts of a murderer against an environment that is as unforgiving, as they are to their victims. 
Alaska: The Last Frontier|2011|Centers on the Kilcher family and their community outside Homer, Alaska. Begun by patriarch Yule Kilcher who immigrated from Europe during WWII, and currently led by his sons, Otto and Atz Kilcher (singer Jewel's father) the family have lived on their land for four generations. The show also features the homesteaders who live nearby and interact with the Kilchers. 
Alaskan Bush People|2014|A journey deep into Alaska's bush, where naturalist and adventurer Billy Brown, along with his wife, Ami, and their seven children, chooses to live life on his own terms, connected to wild nature and bonded to each other. The family of nine strives to be self-sufficient against all odds- often shunning modern society to live off the wilderness and to walk where no man has ever walked before. After the tragic death of his parents and sister that left him orphaned at 16, Billy Brown vowed to live life on his own terms and create his own family to reclaim the love that he lost. With Ami by his side, Billy traveled the lower 48 states and eventually found home in the sprawling landscape of the last frontier, where they have spent most of the last 30 years raising their children. "Our family is doing what is natural for human beings to do. We survive on what we hunt, fish, trap and barter for," Brown says. "We explore, we wander, we live. If you think about it, it's the life we were meant to live." 
Alaskan Steel Men|2013|Alaskan Steel Men, is set in remote Kodiak, Alaska, following the adventures of a team of extreme heavy metal welders. Dennis and his wife Theresa own Quality Marine Alaska and have assembled some of the best welders and pipe fitters in the business. Their weapon in the war against Mother Nature is fire and steel. The conditions in Kodiak are brutal. One mistake can cost lives. From welding underwater in icy cold seas and saving sinking fishing boats, to sealing a crack inside a floating barge that's getting crushed by epic ice flows, the team at QMA takes on the most dangerous emergencies in Alaska. Dennis and his men are fearless, tough as nails and never hesitate to put their lives on the line to get the job done. 
Alaskan Women Looking for Love|2013|As their time in Miami comes to an end, the women must decide the future of their relationships, will they stay in Miami, can their men come back to Alaska, or is it all over? Tina finally meets a guy, and Jenny's erratic behavior spirals out of control. 
Albert & Herbert|1974|Herbert has applied for part-ownership in a sailing-boat, which will take ten young people on a trip around the world. He is 35 years old and this will be his chance to break off from his father and experience the world on his own. As he will be away for some years, he has decided to put his father in a home for old people. When Albert hears about this, he becomes shocked, angry and depressed. When Herbert leaves him at the nursing home, Albert refuses to talk with his son anymore. 
Albert II|2013|Largely fictionalized, partly fictitious chapters from the life of the Belgian royal family during and around the reign of king Albert II. Besides his duties, including signing a more federal regime for the Belgian state, focus is on his marital troubles, illegal offspring and unruly sons. Albert's elder brother and predecessor Boudewijn I and his widow Fabiola also play a largely fictionalized part. 
Alberto Casiraghy: Poeta della stampa|2016|A long conversation with Alberto Casiraghy shot from 2014 that made of the art of printing not just a job but a way of life, a way to make friends and a way to love literature and live it. Publishing with his Pulcinoelefante about ten thousand books in ultra limited edition to many well-known personalities. It remains indelible her life together with her friend poet Alda Merini which has published more than a thousand books. 
Alcanzar una estrella|1990|Lorena is platonic love Eduardo Casablanca, who is a famous actor and singer; knows a cocktail presentation of his latest album and his first soap opera star. Some time later, Lorena goes on vacation to Ixtapa, where coincidentally Sequences Eduardo is recording some stars in the soap opera. The illusion and fantasy of young love, the drive to invent an affair with Eduardo, which is followed with interest by her colleagues, who like her, are great fans of the actor and singer. When Lorena is discovered, it falls into a depression that makes you lose all interest in life, despite the efforts of Norma, her mother and Aurora, her best friend. Eduardo intuits the sensitivity of a secret friend to send anonymous letters, confessing a beautiful feeling, sim plenearlo, has a reunion with Lorena and kisses impulsively do not understand. Lorena is discovered by Joaquin, the representative of Eduardo and begins a successful career that is very close view of Roque and Deborah who is bent on destroying his artistic life and his relationship with the singer. 
Alcatraz|2012|On March 21, 1963, the inmates and guards at Alcatraz prison mysteriously disappear. To cover up the problem, the government reports to the public that the prison has been closed because of unsafe conditions. A secret government unit was set-up to find the prisoners. Now, in the present-day, the inmates begin returning - unaged and unaware of where they have spent the missing decades - and continue their criminal ways. They are acting out of character and appear to be searching for specific objects. A federal agent employs a police officer and a conspiracy theory novelist to help track them down. 
Alcatraz: Living Hell|2007|It was the world's largest concrete building, housing the world's most dangerous criminals. What design strengths made Alcatraz invincible? And what design failures made it a mecca for escape. Uncover the incredible of story of man vs. prison in ALCATRAZ: LIVING HELL. 
Alchemy|1998|Australia's first television program focusing on dance and electronic music. This late-night show quickly became a cult phenomenon after interviews with Australian artists The Avalanches, Pnau, Infusion, B(ift)ek and internationals Bjork, The Chemical Brothers, Run DMC, Fatboy Slim, Underworld and Carl Cox. The show was a follow-on from the world music and hip hop-focused radio program Alchemy on SBS Radio established by Frank Rodi, but became more interested in the contemporary movements of all electronic music, extending to House, Techno, Drum 'n' Bass with a genuine interest in ambient electronica and IDM. The hour-long, weekly show had an interesting structure being hosted in the studio by three VJ/presenters: Frank Rodi (of SBS Radio), Robbie Buck (then of ABC Radio Triple J) and Nicole Fossati (a music promoter and occasional ABC Radio DJ). The shows had a mix of video clips, music charts and interviews with the artists along with a section titled the 'Scrapbook' which explored a more documentary approach to those with obsessive tendencies in collecting or producing music. Two special hour-long episodes were dedicated to German Electronica and also to the UK artist Aphex Twin. The show took an experimental and exploratory approach to its format, playing with the self-referential (edits were occasionally punctuated with a graphic reading "edit"; text read via a teleprompter was overlaid in mirror over the footage of the presenter reading it; interviews were intercut and remixed into the music played by the artist), many dance floor tracks which did not yet have a video clip had clips produced in-house on a weekly basis and interviews were often held in strange or outrightly stupid locations and environments (David Thrussell was interviewed by Rodi whilst swimming in the infamous overhanging lap pool of the Adelphi Hotel in Melbourne; other interviews were held via security camera, in moving vehicles or shot on a stills camera and re-filmed off a slide projector). This interest in the visual side of music culture extended to being the first music show in Australia to credit the director of the video clip alongside the music producer and record company. 
Alcoa Premiere|1961|Hosted by famous dancer and actor Fred Astaire, this series presented a new drama with each week's episode. Unlike some of the earlier drama series, which tended either toward classics or toward light subject matter, this series often had powerful stories about painful or controversial subjects. Many big names got involved with this series, including actors like Charlton Heston and Lee Marvin, directors like John Ford, and writers like Ray Bradbury. 
Alcoa Theatre|1957|When The Alcoa Hour dramatic anthology series moved from Sunday night to Monday, both the name and the format were changed. Instead of having a completely different cast for each episode, the series now used a set group of actors who would appear repeatedly throughout the series in various roles. While most of the productions were serious dramas, a few comedies were also included in the mix. 
Aldnoah.Zero|2014|In 1972, an ancient alien hypergate was discovered on the surface of the moon. Using this technology, humanity began migrating to Mars and settling there. After settlers discovered additional advanced technology, the Vers Empire was founded, which claimed Mars and its secrets for themselves. Later, the Vers Empire declared war on Earth, and in 1999, a battle on the Moon's surface caused the hypergate to explode, shattering the Moon and scattering remnants into a debris belt around the planet. Cut off from Mars, the remnants of the Vers Empire established several massive orbital space stations within the debris belt and a ceasefire was established. 15 years later, in 2014, an attack on the Vers princess during a peace mission causes the Empire to launch a new attack on Earth, this time determined to conquer it once and for all. In 1972, the Apollo 17 mission found a hypergate to Mars on the surface of the moon. Upon landing, astronauts discovered a enchanted utility later referred to as "Aldnoah," giving the astronauts a status of superiority. Soon, many humans have relocated to Mars, and have adapted to the name "Martians." After Princess Asseylum, a royal Martian princess, descends onto Earth in an attempt to create a treaty between both planets, a war breaks out between Earth and Mars, and Martian soldiers begin to descend from the sky, riding steel giants, intent on exterminating humanity. 
Alec in WILDerland|2012|In this reality show Alec, a boy from Texas, is exploring different and interesting outdoor locations around Texas, other cool places in the US and also places overseas like in South Africa or Australia. He experiences a lot of adventures and demonstrates several survival techniques and explains a lot about the nature, animals and things you can experience in the nature. 
Alejandra|1994|Alejandra is a beautiful woman who has dedicated her life to the medical profession in an effort to rise above her tormented, humble beginnings and prove to herself and those around her that she can make a contribution to society. After a one-year medical internship in the rural areas of her country, Alejandra returns to her family's working-class neighborhood. She obtains a job at the local hospital, where she confronts the hospital director--the famed surgeon Alejandro Antunez--with the news that she is his illegitimate daughter, determined to prove to him that she did not need him in order to succeed in life. Alejandra's presence has a great impact on Dr. Antunez's life; the daughter he had long-forgotten is now a capable and intelligent physician who sparks a renewed sense of pride in him. Everyone seems to respect the abilities of the young female doctor...except for Dr. Luis Jose Baez, a brilliant young intern who is equally well-known for his male chauvinism and womanizing ways. Alejandra and Luis Jose's growing attraction for each other is masked behind their frequent conflicts, but love blossoms despite themselves. Alejandra gets pregnant. And along comes Morella, Luis Jose's estranged wife, a beautiful older woman whose obsession for him may forever keep Alejandra. 
Alejo y Valentina|2002|Alejo and Valentina are a couple that lives in a house in the middle of the forest. They have a lot of adventures, some of them are parodies of popular films and TV series, but are hilarious as well. "Alejo and Valentina" is an Argentinian flash series which shows us the life of a couple which lives near the forest and are constantly having all sort of wicked situations, most of them spoofed from various Hollywood films. The rest of the cast consists on Carlitox, a young man who is able to float, the old man with a stick, who can appear everywhere and anywhere, Mathias, a crazy teenager, and Gregory, the cameraman from TLF. 
Alentejo Sem Lei|1988|Alentejo Lawless Land is a short series centered on the political struggle between the conservative and the liberal monarchist factions for the throne of Portugal, in the period of 1828 and 1843. Alentejo, the vast planes south of the Tagus river, poor in agricultural productivity and void of industrial resources, saw the political struggle of the nobles aggravated with the class struggle between the handful of land owners, and the mass of jobless have-nots. The empire of law faltered, and sheer power became law. 
Alex Hugo|2014|Former great Marseille cop Alex Hugo, nicknamed "La Tendresse", chose to leave the city and a violence that he could no longer bear to isolate himself in the mountains, driven by his need for freedom. He now occupies a position in the French 'Police Rurale' and enjoys a tranquility which he was previously unaccustomed to. 
Alex Reed|2017|Alex Reed takes every day as it comes. He works for a special clandestine operations group known as Arcane, and along with his fellow agent, Andy, they're thrown into all manner of morally questionable situations and are expected to grit their teeth and power through. The consequences of their actions begin to weigh on their conscience as their lives are whittled down again and again. 
Alex Reyes and the Importantes|????|In this series, Alex Reyes, a ten-year-old Cuban-American boy, goes on the adventure of his young life when Captain Badcar, along with his wacky crew from the Planet Vega, take him aboard the powerful ship, the Alpha Omega, on a quest to find the seven "IMPORTANTES": sentient fragments formed at the creation of the universe that possess immeasurable power and unknown potential. 
Alex|2017|When a dirty cop decides to go straight after having accidentally shot his partner, he must first get dirtier than ever as the gangsters he used to work for go after his family, while his new partner, a by the book careerist, is out to get him. 
Alex's Day Off|2009|Alex Guarnaschelli, professional chef, working mom and passionate home cook, invites viewers to learn her down-to-earth recipes in Alex's Day Off. Alex shows how cooking her personal style of American, French and Italian faire can be elegant and approachable, with a side of sass. 
Alex's Guy|2017|Alex Burnell is a successful business woman enjoying a life of simplicity. She is living her life not worrying about dating and the troubles that goes along with it. That is until she meets Guy. Will Alex welcome Guy into her life or will she continue life as she knows it? 
